entity,entity_code,is_aggregate_entity,date,emissions_intensity_gco2_per_kwh,emissions_intensity_yoy_change_gco2_per_kwh,emissions_intensity_yoy_change_pct
"EU",,true,"2016-01",351.55,,
"EU",,true,"2016-02",315.61,,
"EU",,true,"2016-03",327.57,,
"EU",,true,"2016-04",313.41,,
"EU",,true,"2016-05",307.84,,
"EU",,true,"2016-06",327.6,,
"EU",,true,"2016-07",341.01,,
"EU",,true,"2016-08",340.92,,
"EU",,true,"2016-09",380.24,,
"EU",,true,"2016-10",397.93,,
"EU",,true,"2016-11",387.47,,
"EU",,true,"2016-12",382.47,,
"EU",,true,"2017-01",388.7,37.15,10.57
"EU",,true,"2017-02",366.4,50.79,16.09
"EU",,true,"2017-03",333.32,5.75,1.76
"EU",,true,"2017-04",334.82,21.41,6.83
"EU",,true,"2017-05",340.02,32.18,10.45
"EU",,true,"2017-06",332.81,5.21,1.59
"EU",,true,"2017-07",350.51,9.5,2.79
"EU",,true,"2017-08",340.79,-0.13,-0.04
"EU",,true,"2017-09",348.41,-31.83,-8.37
"EU",,true,"2017-10",354.3,-43.63,-10.96
"EU",,true,"2017-11",377.89,-9.58,-2.47
"EU",,true,"2017-12",331.05,-51.42,-13.44
"EU",,true,"2018-01",317.59,-71.11,-18.29
"EU",,true,"2018-02",350.5,-15.9,-4.34
"EU",,true,"2018-03",321.07,-12.25,-3.68
"EU",,true,"2018-04",285.58,-49.24,-14.71
"EU",,true,"2018-05",297.87,-42.15,-12.4
"EU",,true,"2018-06",315.92,-16.89,-5.07
"EU",,true,"2018-07",350.43,-0.08,-0.02
"EU",,true,"2018-08",351.11,10.32,3.03
"EU",,true,"2018-09",353.58,5.17,1.48
"EU",,true,"2018-10",354.01,-0.29,-0.08
"EU",,true,"2018-11",358.88,-19.01,-5.03
"EU",,true,"2018-12",326.99,-4.06,-1.23
"EU",,true,"2019-01",335.92,18.33,5.77
"EU",,true,"2019-02",319.13,-31.37,-8.95
"EU",,true,"2019-03",275.92,-45.15,-14.06
"EU",,true,"2019-04",289.22,3.64,1.27
"EU",,true,"2019-05",281.08,-16.79,-5.64
"EU",,true,"2019-06",274.87,-41.05,-12.99
"EU",,true,"2019-07",298.66,-51.77,-14.77
"EU",,true,"2019-08",296.96,-54.15,-15.42
"EU",,true,"2019-09",296.9,-56.68,-16.03
"EU",,true,"2019-10",314.17,-39.84,-11.25
"EU",,true,"2019-11",312.97,-45.91,-12.79
"EU",,true,"2019-12",274.05,-52.94,-16.19
"EU",,true,"2020-01",285.82,-50.1,-14.91
"EU",,true,"2020-02",251.01,-68.12,-21.35
"EU",,true,"2020-03",249.43,-26.49,-9.6
"EU",,true,"2020-04",232.62,-56.6,-19.57
"EU",,true,"2020-05",230.85,-50.23,-17.87
"EU",,true,"2020-06",259.89,-14.98,-5.45
"EU",,true,"2020-07",271.37,-27.29,-9.14
"EU",,true,"2020-08",285.32,-11.64,-3.92
"EU",,true,"2020-09",299.96,3.06,1.03
"EU",,true,"2020-10",274.12,-40.05,-12.75
"EU",,true,"2020-11",302.26,-10.71,-3.42
"EU",,true,"2020-12",284.39,10.34,3.77
"EU",,true,"2021-01",290.21,4.39,1.54
"EU",,true,"2021-02",264.7,13.69,5.45
"EU",,true,"2021-03",266.15,16.72,6.7
"EU",,true,"2021-04",272.58,39.96,17.18
"EU",,true,"2021-05",229.86,-0.99,-0.43
"EU",,true,"2021-06",265.63,5.74,2.21
"EU",,true,"2021-07",272.15,0.78,0.29
"EU",,true,"2021-08",268.69,-16.63,-5.83
"EU",,true,"2021-09",314.64,14.68,4.89
"EU",,true,"2021-10",296.06,21.94,8
"EU",,true,"2021-11",326.38,24.12,7.98
"EU",,true,"2021-12",312.26,27.87,9.8
"EU",,true,"2022-01",300.02,9.81,3.38
"EU",,true,"2022-02",273.06,8.36,3.16
"EU",,true,"2022-03",321.16,55.01,20.67
"EU",,true,"2022-04",274.93,2.35,0.86
"EU",,true,"2022-05",274.28,44.42,19.32
"EU",,true,"2022-06",295.41,29.78,11.21
"EU",,true,"2022-07",302.16,30.01,11.03
