entity,entity_code,is_aggregate_entity,date,series,is_aggregate_series,generation_twh,generation_share_pct,generation_kwh_per_capita,generation_yoy_change_twh,generation_yoy_change_pct,generation_share_yoy_change_pct_points,generation_yoy_change_kwh_per_capita,generation_ytd_twh,generation_ytd_share_pct,generation_ytd_kwh_per_capita
"EU",,true,"2016-01","Bioenergy",false,9.56,3.74,21.49,0.89,10.27,,2,9.56,3.74,21.49
"EU",,true,"2016-01","Coal",false,57.27,22.38,128.72,-6.72,-10.5,,-15.1,57.27,22.38,128.72
"EU",,true,"2016-01","Gas",false,44.27,17.3,99.5,8.31,23.11,,18.68,44.27,17.3,99.5
"EU",,true,"2016-01","Hydro",false,28.09,10.98,63.14,-3,-9.65,,-6.74,28.09,10.98,63.14
"EU",,true,"2016-01","Nuclear",false,74.87,29.26,168.28,-2.52,-3.26,,-5.66,74.87,29.26,168.28
"EU",,true,"2016-01","Other fossil",false,7.04,2.75,15.82,-0.12,-1.68,,-0.27,7.04,2.75,15.82
"EU",,true,"2016-01","Other renewables",false,1.85,0.72,4.16,-49.96,-96.43,,-112.29,1.85,0.72,4.16
"EU",,true,"2016-01","Solar",false,2.87,1.12,6.45,0.21,7.89,,0.47,2.87,1.12,6.45
"EU",,true,"2016-01","Total generation",true,255.91,100,575.19,-51.16,-16.66,,-114.99,255.91,100,575.19
"EU",,true,"2016-01","Wind",false,30.09,11.76,67.63,1.75,6.18,,3.93,30.09,11.76,67.63
"EU",,true,"2016-02","Bioenergy",false,8.86,3.76,19.91,0.87,10.89,,1.96,18.42,3.75,41.4
"EU",,true,"2016-02","Coal",false,47.61,20.23,107.01,-12,-20.13,,-26.97,104.88,21.35,235.73
"EU",,true,"2016-02","Gas",false,35.28,14.99,79.3,0.32,0.92,,0.72,79.55,16.19,178.8
"EU",,true,"2016-02","Hydro",false,32.1,13.64,72.15,1.08,3.48,,2.43,60.19,12.25,135.29
"EU",,true,"2016-02","Nuclear",false,67.87,28.84,152.55,0.14,0.21,,0.31,142.74,29.06,320.83
"EU",,true,"2016-02","Other fossil",false,6.13,2.6,13.78,-0.39,-5.98,,-0.88,13.17,2.68,29.6
